d,r,n,|A|,|A+A|
4,9,26,601,164376
2,2,27,729,174149
2,3,27,495,101605
2,4,27,729,225096
2,5,27,599,159133
2,6,27,729,236882
2,7,27,625,176710
2,8,27,729,241835
2,9,27,651,193389
3,2,27,554,109028
3,3,27,729,212573
3,4,27,547,128552
3,5,27,704,221840
3,6,27,729,236949
3,7,27,625,176684
3,8,27,704,226397
3,9,27,729,242613
4,2,27,729,171655
4,3,27,654,172942
4,4,27,729,223302
4,5,27,573,146129
4,6,27,729,240340
4,7,27,704,223987
4,8,27,729,240073
4,9,27,651,193337
2,2,28,784,203927
2,3,28,541,121439
2,4,28,784,261685
2,5,28,622,172359
2,6,28,784,274635
2,7,28,676,207334
2,8,28,784,280264
2,9,28,703,226045
3,2,28,602,129434
3,3,28,784,246621
3,4,28,595,152557
3,5,28,758,257308
3,6,28,784,275034
3,7,28,676,207151
3,8,28,758,263103
3,9,28,784,280979
4,2,28,784,201602
4,3,28,706,202382
4,4,28,784,259646
4,5,28,622,172228
4,6,28,784,278666
4,7,28,758,260248
4,8,28,784,278512
4,9,28,703,225757
2,2,29,841,237422
2,3,29,561,131480
2,4,29,841,302452
2,5,29,673,201884
2,6,29,841,317065
2,7,29,729,241606
2,8,29,841,323200
2,9,29,757,262643
3,2,29,652,152887
3,3,29,841,284879
3,4,29,645,179562
3,5,29,814,296772
3,6,29,841,317371
3,7,29,729,241416
3,8,29,814,304123
3,9,29,841,323784
4,2,29,841,234572
4,3,29,760,235472
4,4,29,841,299843
4,5,29,673,201748
4,6,29,841,321415
4,7,29,814,300901
4,8,29,841,321410
4,9,29,757,262155
2,2,30,900,274935
2,3,30,610,155612
2,4,30,900,347522
2,5,30,726,235121
2,6,30,900,364151
2,7,30,784,280010
2,8,30,900,370851
2,9,30,813,303352
3,2,30,676,166368
3,3,30,900,327752
3,4,30,668,193593
3,5,30,872,340987
3,6,30,900,364468
3,7,30,784,279813
3,8,30,872,349675
3,9,30,900,371367
4,2,30,900,271566
4,3,30,788,255009
4,4,30,900,344372
4,5,30,726,234980
4,6,30,900,368943
4,7,30,872,346279
4,8,30,900,369100
4,9,30,784,282055
2,2,31,961,316788
2,3,31,661,182924
2,4,31,961,397574
2,5,31,781,272373
2,6,31,961,416312
2,7,31,841,322867
2,8,31,961,423602
2,9,31,871,348681
3,2,31,729,194938
3,3,31,961,374865
3,4,31,721,226172
3,5,31,932,390040
3,6,31,961,416670
3,7,31,811,300361
3,8,31,932,400312
3,9,31,961,424048
4,2,31,961,312835
4,3,31,845,294515
4,4,31,961,394495
4,5,31,781,272087
4,6,31,961,421625
4,7,31,932,396539
4,8,31,961,421898
4,9,31,841,325246
2,2,32,1024,363375
2,3,32,683,196455
2,4,32,1024,452883
2,5,32,838,313781
2,6,32,1024,473934
2,7,32,869,345744
2,8,32,1024,481867
2,9,32,900,373303
3,2,32,784,226662
3,3,32,1024,427232
3,4,32,776,262741
3,5,32,994,444272
3,6,32,1024,474102
3,7,32,869,345713
3,8,32,994,456193
3,9,32,1024,482474
4,2,32,1024,359394
4,3,32,904,338349
4,4,32,1024,449810
4,5,32,807,291588
4,6,32,1024,479095
4,7,32,994,452196
4,8,32,1024,479948
4,9,32,900,373241
2,2,33,1089,414116
2,3,33,737,229119
2,4,33,1089,513340
2,5,33,865,335517
2,6,33,1089,536966
2,7,33,929,396065
2,8,33,1089,545682
2,9,33,961,426449
3,2,33,841,261887
3,3,33,1089,485678
3,4,33,833,303225
3,5,33,1058,503670
3,6,33,1089,536991
3,7,33,929,396033
3,8,33,1058,517852
3,9,33,1089,546765
